name,latitude,longitude,user
Fav Western Restaurant: Old School,43.65187,-79.40838,10001
Fav Market: St Lawrence Market,43.64866,-79.37157,10001
Fav Beach: Sugar Beach,43.64386,-79.36818,10001
Fav Garden: Allan Garden,43.66164,-79.3748,10001
Fav Hub: Yonge-Dundas Square,43.6561,-79.38005,10001
